source_file,timestamp,model,device,mode,param_size,hardware_type,model_size_class,embedding_model,chunk_size,chunk_overlap,context_max_tokens,retrieved_top_k,question_id,question_text,correct_option,detected_option,is_correct,latency_seconds,timed_out,use_case_classification,answer_confidence,num_fragmentos,retrieval_recall_hit,retrieval_overlap,summary_total,summary_processed,summary_correct,summary_incorrect,summary_unknown,summary_recall_at_k,summary_accuracy
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,1,¿Qué tipo de modificación plástica representa el dibujo de la pregunta 10? ,a,c,False,54.06273293495178,False,Segunda Opinión Asíncrona,0.9,8,False,0.2222,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,2,Un paciente con un miembro superior derecho muy espástico provoca: ,b,a,False,41.05403804779053,False,Segunda Opinión Asíncrona,0.5416,8,True,0.8333,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,3,"Para facilitar que un paciente se pueda poner de puntillas, es necesario que tenga fuerza suficiente en: ",b,b,True,56.1504271030426,False,Segunda Opinión Asíncrona,0.62,8,True,0.5,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,4,"Según el principio de Henneman, la postura precede al movimiento porque: ",b,b,True,58.112982511520386,False,Segunda Opinión Asíncrona,0.5875,8,True,0.6,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,5,"Según el concepto Bobath, las reacciones asociadas se caracterizan por: ",b,desconocida,False,59.12698745727539,False,Segunda Opinión Asíncrona,0.0,8,True,0.375,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,6,"Sobre la anatomía de la cápsula y tractos, es correcto que: ",a,a,True,55.6770658493042,False,Segunda Opinión Asíncrona,0.65,8,True,0.6667,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,7,Señale la respuesta correcta sobre patrones de FNP: ,c,a,False,42.36525273323059,False,Segunda Opinión Asíncrona,0.5917,8,True,0.4286,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,8,La estabilidad del tronco se consigue mediante extensibilidad y fuerza adecuadas en: ,c,b,False,46.95869779586792,False,Segunda Opinión Asíncrona,0.5687,8,True,0.5882,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,9,¿Qué tipo de modificación plástica representa el dibujo de la pregunta 11? ,c,b,False,45.39948391914368,False,Segunda Opinión Asíncrona,0.0,8,False,0.2222,17,17,5,10,2,82.35294117647058,29.411764705882355
report_deepseek-llm_7b_CPU_Cluster_Amdahl_bge-m3_20260222_085540.json,2026-02-22T09:10:21.443753,deepseek-llm:7b,Cluster_Amdahl,CPU,7b,Cluster_CPU,7B/8B (Ligero),BAAI/bge-m3,1300,300,4800,8,10,¿Qué receptores actúan para disminuir la espasticidad del biceps braquial? ,a,a,True,55.36413860321045,False,Segunda Opinión Asíncrona,0.5687,8,True,0.4667,17,17,5,10,2,82.35294117647058,29.411764705882355
